topic_id,topic,T/F,speecher,id,reference
7,날짜별 코로나19 감염 증상이 있다,False,"SNS, 인터넷 커뮤니티, 유튜브, 언론사 자체 제보",2174,출처: 페이스북 게시글
7,변종 코로나19가 급성 패혈증 유발한다,False,인터넷 커뮤니티 및 SNS,2171,출처: 인터넷 커뮤니티
7,공중화장실 비누로 바이러스 전파 가능하다,False,SNS와 커뮤니티 이용자,2100,
7,"코로나19 확진자 동선공개, 개인정보보호법 위반?",False,인터넷 커뮤니티 및 SNS,2161,
7,개학 연기 조치는 고등학교 3학년 대입에 불리하게 작용한다,True,언론 보도,2157,출처: 언론 보도
7,"변이한 코로나19 유전자, 진단키트로 못 잡는다",False,인터넷 커뮤니티 이용자,2159,출처: 인터넷 커뮤니티
7,"""개학연기로 인해 초등학교 여름방학이 4일뿐이다""",False,온라인 커뮤니티 이용자,2153,출처: 언론보도
7,코로나19 접촉자 증상 없어도 강제 조사 가능하다,True,발언인 없음,2127,
7,우한연구소로 파견되는 미국 친구의 글,False,SNS와 블로그 이용자,2103,"출처: SNS, 블로그 등"
7,'부산 확진자 진상 LIVE 영상' 사실일까?,False,인터넷 커뮤니티 이용자,2106,출처: 인터넷 커뮤니티에 올라온 '부산 확진자 진상 LIVE영상 ㄷㄷ' 게시글
7,"""이재명 경기도지사가 신천지에 축전을 보냈다""",False,트위터 이용자,2102,출처: 한 트위터 이용자의 트윗
7,성인지 예산 31조원은 여성가족부가 여성만을 위해 쓰는 예산이다,False,유튜브 이용자,2099,출처: 게임 유튜버 개인 채널 [오세라비 초대석 여성가족부 편]
7,일본 성범죄 비율은 한국 10분의 1이다,False,유튜브 이용자,2098,출처: 성매매 특별법 관련 종편 토론 프로그램 2차 가공 영상
7,남녀 임금격차는 여성이 이과/공대에 가지 않아서 생긴다,False,유튜브 이용자,2094,출처: 그 페미니즘은 틀렸다…고 / [아찔한 토론 #2] / 비디오머그
7,대구에서 격리대상자 2명이 도망쳤다?,False,온라인 커뮤니티 이용자,2089,
7,"""31번 확진자가 병원에서 격리당하기 싫어서 난동을 부렸다""",False,인터넷 커뮤니티 이용자,2088,출처: [인터넷 커뮤니티 게시글] 병원 난동중인 31번 환자
7,"신종 코로나, 일반 대기를 통해 전염되는 '공기감염병'이다?",False,인터넷 이용자,2063,출처: 유튜브 영상
7,"""일본 체류중인 다이아몬드 프린세스호가 부산항으로 입항한다?""",False,인터넷 뉴스 댓글 이용자,2060,출처: 포털 뉴스 댓글창
7,"""종이행주 마스크, 신종 코로나바이러스 감염 방지 효과 있다.""",False,온라인 이용자,2071,출처: 소셜미디어(SNS) 영상
7,"“공중화장실, 신종 코로나바이러스 위험지대”",False,언론 보도,2069,출처: 2월 3일자 홍콩 명보(明報) 신문
7,"""코로나 때문에 싱가포르에서 그랩 서비스 중단""",False,언론 보도,2070,출처: <헤럴드경제> 보도
7,"신종 코로나 바이러스, 몸 밖에서도 5일 동안 살 수 있다?",False,장룽멍,2066,출처: 인민일보 보도(후베이성 기자회견)
7,"신종 코로나, 목욕탕 물 통해서도 감염된다?",False,"다수 언론 매체, 온라인 커뮤니티",2046,출처: 다수 언론 매체
7,"""16번 확진자가 진주 대형마트에 들렀다""",False,SNS와 커뮤니티 이용자,2048,출처: 인터넷 커뮤니티 게시글
7,"""후베이성 방문 뒤 입국한 3명 중 중국인 2명이 부산에서 연락두절 상태다""",False,언론 보도,2050,
