topic_id,topic,T/F,speecher,id,reference
1,"6·25 70주년 행사, 북한 의식해 밤에 했다",False,"SNS, 인터넷 커뮤니티",2356,
1,"미국 싱크탱크인 CSIS 원장이 ""문재인 대통령은 대한민국 시국에 적합한 대통령이 아닌 것으로 사료된다.""라고 밝혔다",False,SNS와 커뮤니티 이용자,2352,"출처: 인터넷 카페, 블로그, 오픈채팅방 등"
1,5월 30일부터 의원이 되는 21대 국회의원들이 5월달 세비를 거의 다 받는다,False,이재오,2308,출처: 5월 4일 kbs 여의도 사사건건 인터뷰
1,"""248억 들인 건물 폭파, 국제법상 보상받을 수 있다“",False,태영호,2345,출처: 페이스북
1,‘프로듀스’ 투표 조작이 부정 선거의 증거다,False,"민경욱, 보수 성향 유튜버",2344,출처: 가로세로연구소
1,"""박주민 의원이 발의한 주택임대차보호법 개정안은 세입자가 원하면 전월세 무한연장이 가능한 법이다""",False,언론 보도,2340,출처: 한국경제 <박주민 '전세 무한연장법' 발의…재산권 침해 논란 불가피>기사
1,정부가 내놓은 만 3세·취학아동 대상 전수조사 대책 이전부터 시행돼왔다,True,김미애,2338,
1,최강욱 의원 국토위에서 법사위로 사·보임 가능하다,True,"SNS, 인터넷 커뮤니티",2337,
1,"대기업들의 미르재단, K스포츠재단 출연은 자발적이었다.",False,최서원(최순실),2335,
1,대북전단 금지할 현행법 있다,True,송영길,2332,출처: 송영길 의원 페이스북 게시물
1,이재용 기소여부 권고할 검찰수사심의위원회는 비법률전문가들이다,False,"SNS, 인터넷 커뮤니티",2333,
1,유권자는 후보의 '진짜 체납액'이 얼마인지 사실상 알 수 없는 구조다,True,발언인 없음,2328,
1,"""대법원은 대북전단 살포는 제한이 가능하다고 판단했다""",True,박지원,2329,출처: 박지원 단국대 석좌교수가 11일 tbs라디오 김어준의 뉴스공장에 출연해 발언한 내용
1,"""10억 원으로는 서울 마포구에서 집을 살 수 없었다.""",False,정의기억연대,2291,출처: 정의기억연대 홈페이지
1,"""드론으로 평양까지 대북 전단 1만 장을 보냈다""",False,자유북한운동연합,2324,출처: 다수 언론의 문제제기
1,"""21대 국회는 1987년 민주화 이후 처음으로 국회법을 준수해 개원하게 된다""",False,이해찬,2323,출처: 2020년 6월 5일 더불어민주당 최고위원회 모두발언
1,"주한미군 한국인 근로자 임금지급, 새로운 지출이다",False,"SNS, 인터넷 커뮤니티",2320,
1,핀란드 기본소득 실험 실패했다,False,"SNS, 인터넷 커뮤니티",2318,
1,"4년간 한국은 (20대 국회 기준)9000여 건, 미국은 1000여 건, 일본은 500여 건의 법안 처리했다.",True,박성중,2310,출처: 6월 1일 YTN라디오 '노영희의 출발 새아침'
1,'비동의 간음죄' 법안이 남성만 차별하는 좌파 법안이다?,False,"SNS, 인터넷 커뮤니티",2311,
1,국회의원은 당론 따라 표결할 '의무' 있다?,False,더불어민주당 강서갑 권리당원 502명,2313,
1,태평양유족회장이 보상금 사기를 쳤다,False,인터넷 이용자,2312,
1,21대 국회의원 당선자 평균 재산 21억…상위 5명 중 4명은 통합당?,True,언론 보도,2304,출처: 뉴시스
1,21대 국회의원 당선자 300명 중 100명이 전과자?,True,언론 보도,2305,출처: 조선일보
1,21대 국회 입성 평균 연령 54.9세…여성 당선인 20% 벽 못 넘었다?,True,언론 보도,2306,출처: SBS
1,지역코드 뺀 주민번호로 간첩 신분세탁이 용이해졌다,False,SNS 이용자,2302,
1,"""이용수 할머니의 기자회견 내용이 일본 극우의 주장과 똑같다""",False,국내외 온라인 커뮤니티 및 일본 정치인,2300,출처: 국내 트위터 이용자
1,논란이 되는 정의기억연대가 소녀상에 책임을 지는 주체다?,False,산케이 신문,2290,출처: 5월 20일 산케이 신문 논평 '반일 집회 중단과 소녀상 철거'
1,"n번방 방지법, 카톡까지 들여다본다",False,온라인 커뮤니티 이용자,2279,출처: 유튜브 '신의 한수'
1,최근 공개된 미국 외교문서에 5·18 당시 인민재판·처형 기록 있다,False,"보수 유튜버, 인터넷 이용자 등",2281,
